"WHO Reference Number","INN, Dosage Form and Strength","Product Type","Therapeutic Area",Applicant,"Dosage Form","Basis of Listing","Basis of alternative listing","Date of Prequalification"
RH082,"Ethinylestradiol/Levonorgestrel Tablet, Sugar coated + Placebo Tablet, Sugar coated 30mcg/150mcg + 0mcg","Finished Pharmaceutical Product","Reproductive health","Jenapharm GmbH & Co. KG","Tablet, Sugar coated + Tablet, Sugar coated","Prequalification - Abridged",,"24  Oct,  2017"
RH083,"Oxytocin Solution for injection 10IU/mL","Finished Pharmaceutical Product","Reproductive health","Steril-Gene Life Sciences (P) Ltd","Solution for injection","Prequalification - Full",,"14  Oct,  2019"
RH084,"Medroxyprogesterone acetate Suspension for injection 150mg/ml","Finished Pharmaceutical Product","Reproductive health","Incepta Pharmaceuticals Ltd.","Suspension for injection","Prequalification - Full",,"5  Feb,  2020"
RH086,"Magnesium sulphate Solution for injection 500mg/ml (10ml)","Finished Pharmaceutical Product","Reproductive health","Joint-Stock Company Halychpharm","Solution for injection","Prequalification - Full",,"16  Mar,  2020"
RH087,"Estradiol valerate/Norethisterone enantate Solution for injection 5mg/ml/50mg/ml","Finished Pharmaceutical Product","Reproductive health","Bayer S.A.","Solution for injection","Prequalification - Full",,"18  Aug,  2020"
RH089,"Mifepristone Tablet + Misoprostol Tablet 200mg + 200mcg","Finished Pharmaceutical Product","Reproductive health","China Resources Zizhu Pharmaceutical Co Ltd","Tablet + Tablet","Prequalification - Full",,"19  Nov,  2019"
RH090,"Medroxyprogesterone acetate Suspension for injection 150mg/ml","Finished Pharmaceutical Product","Reproductive health","Tunggal Idaman Abdi  (PT)","Suspension for injection","Prequalification - Full",,"1  Jul,  2021"
RH093,"Ethinylestradiol/Levonorgestrel Tablet, Sugar coated + Placebo Tablet, Film-coated 30mcg/150mcg + 0mg","Finished Pharmaceutical Product","Reproductive health","Renata PLC","Tablet, Sugar coated + Tablet, Film-coated","Prequalification - Full",,"22  Feb,  2024"
RH094,"Misoprostol Tablet 200mcg","Finished Pharmaceutical Product","Reproductive health","Senador Laboratories Private Limited",Tablet,"Prequalification - Full",,"2  Sep,  2022"
RH095,"Carbetocin Solution for injection 100 mcg/ml","Finished Pharmaceutical Product","Reproductive health","Ferring International Center SA","Solution for injection","Prequalification - Full",,"4  Jul,  2022"
RH096,"Ethinylestradiol/Levonorgestrel Tablet, Film-coated 30mcg/150mcg","Finished Pharmaceutical Product","Reproductive health","HLL Lifecare Limited","Tablet, Film-coated","Prequalification - Full",,"9  Dec,  2022"
RH098,"Levonorgestrel Tablet 1.5mg","Finished Pharmaceutical Product","Reproductive health","Naari BV",Tablet,"Prequalification - Abridged",,"1  Jul,  2021"
RH099,"Misoprostol Tablet, vaginal 25μg","Finished Pharmaceutical Product","Reproductive health","BIAL-Portela & Ca. SA","Tablet, vaginal","Prequalification - Abridged",,"16  Dec,  2021"
RH100,"Levonorgestrel Intra-uterine system 52mg","Finished Pharmaceutical Product","Reproductive health","Bayer AG","Intra-uterine system","Prequalification - Abridged",,"17  Mar,  2022"
RH102,"Desogestrel Tablet, Film-coated 75mcg","Finished Pharmaceutical Product","Reproductive health","NV Organon","Tablet, Film-coated","Prequalification - Abridged",,"5  May,  2023"
RH103,"Benzathine benzylpenicillin Powder for suspension for injection + Water for Injection Solvent for parenteral use 1,200,000IU + 4 mL","Finished Pharmaceutical Product","Reproductive health","Laboratorio Reig Jofre, S.A.","Powder for suspension for injection + Solvent for parenteral use","Prequalification - Abridged",,"21  Mar,  2023"
RH104,"Benzathine benzylpenicillin Powder for suspension for injection + Water for Injection Solvent for parenteral use 2,400,000IU + 6 mL","Finished Pharmaceutical Product","Reproductive health","Laboratorio Reig Jofre, S.A.","Powder for suspension for injection + Solvent for parenteral use","Prequalification - Abridged",,"21  Mar,  2023"
RH105,"Misoprostol Tablet, vaginal 200µg","Finished Pharmaceutical Product","Reproductive health","BIAL-Portela & Ca. SA","Tablet, vaginal","Prequalification - Abridged",,"27  Mar,  2023"
RH106,"Medroxyprogesterone acetate Suspension for injection 104mg/0.65ml","Finished Pharmaceutical Product","Reproductive health","Incepta Pharmaceuticals Ltd.","Suspension for injection","Prequalification - Full",,"1  Oct,  2025"
RH108,"Ethinylestradiol/Levonorgestrel Tablet, Sugar coated + Ferrous (Fumarate) Tablet, Film-coated 0.03mg/0.15mg + 75mg","Finished Pharmaceutical Product","Reproductive health","Renata PLC","Tablet, Sugar coated + Tablet, Film-coated","Prequalification - Full",,"23  Mar,  2026"
RH110,"Oxytocin Solution for injection 10 IU/ml","Finished Pharmaceutical Product","Reproductive health","JSC Grindeks","Solution for injection","Prequalification - Abridged",,"27  Sep,  2025"
TB008,"Ethambutol hydrochloride Tablet, Film-coated 400mg","Finished Pharmaceutical Product",Tuberculosis,"Cadila Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"13  Nov,  2003"
TB009,"Ethambutol hydrochloride/Isoniazid Tablet, Film-coated 400mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Cadila Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"28  Apr,  2010"
TB015,"Pyrazinamide Tablet 400mg","Finished Pharmaceutical Product",Tuberculosis,"Cadila Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"13  Nov,  2003"
TB068,"Isoniazid/Rifampicin Tablet, Film-coated 75mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"19  Dec,  2003"
TB070,"Ethambutol hydrochloride/Isoniazid/Pyrazinamide/Rifampicin Tablet, Film-coated 275mg/75mg/400mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"13  Nov,  2003"
TB085,"Isoniazid/Rifampicin Tablet, coated 75mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Sandoz Pvt Ltd","Tablet, coated","Prequalification - Abridged",,"14  Sep,  2004"
TB090,"Ethambutol hydrochloride/Isoniazid/Pyrazinamide/Rifampicin Tablet, Film-coated 275mg/75mg/400mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Sandoz Pvt Ltd","Tablet, Film-coated","Prequalification - Abridged",,"14  Sep,  2004"
TB133,"Ethionamide Tablet, Film-coated 250mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"21  Dec,  2007"
TB134,"Ethambutol hydrochloride Tablet, Film-coated 400mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"23  Mar,  2007"
TB154,"Cycloserine Capsules, hard 250mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Capsules, hard","Prequalification - Full",,"23  Mar,  2007"
TB158,"Isoniazid/Rifampicin Tablet, Film-coated 75mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"7  Mar,  2008"
TB159,"Pyrazinamide Tablet 400mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"23  Mar,  2007"
TB168,"Ethambutol hydrochloride/Isoniazid/Pyrazinamide/Rifampicin Tablet, Film-coated 275mg/75mg/400mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"7  Mar,  2008"
TB171,"Pyrazinamide Tablet 400mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited",Tablet,"Prequalification - Full",,"29  Jun,  2009"
TB172,"Pyrazinamide Tablet 500mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited",Tablet,"Prequalification - Full",,"29  Jun,  2009"
TB173,"Isoniazid Tablet 100mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited",Tablet,"Prequalification - Full",,"1  Nov,  2010"
TB174,"Isoniazid Tablet 300mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited",Tablet,"Prequalification - Full",,"1  Nov,  2010"
TB177,"Ethambutol hydrochloride Tablet, Film-coated 400mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"8  Apr,  2010"
TB178,"Isoniazid Tablet 100mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"23  Apr,  2008"
TB179,"Isoniazid Tablet 300mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"23  Apr,  2008"
TB183,"Ethambutol hydrochloride/Isoniazid/Rifampicin Tablet, Film-coated 275mg/75mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"22  Oct,  2008"
TB189,"Isoniazid/Rifampicin Tablet, Film-coated 75mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Svizera Europe BV","Tablet, Film-coated","Prequalification - Full",,"19  Dec,  2012"
TB192,"Ethambutol hydrochloride/Isoniazid/Rifampicin Tablet, Film-coated 275mg/75mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Svizera Europe BV","Tablet, Film-coated","Prequalification - Full",,"19  Dec,  2012"
TB193,"Ethambutol hydrochloride/Isoniazid/Pyrazinamide/Rifampicin Tablet, Film-coated 275mg/75mg/400mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Svizera Europe BV","Tablet, Film-coated","Prequalification - Full",,"19  Dec,  2012"
TB195,"Isoniazid/Rifampicin Tablet, Film-coated 150mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"29  Jan,  2013"
TB196,"Isoniazid Tablet 100mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd",Tablet,"Prequalification - Full",,"31  Oct,  2012"
TB199,"Ethambutol hydrochloride/Isoniazid/Rifampicin Tablet, Film-coated 275mg/75mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"11  Jan,  2013"
TB206,"Protionamide Tablet, Film-coated 250mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"13  Jun,  2014"
TB223,"Ethambutol hydrochloride/Isoniazid/Pyrazinamide/Rifampicin Tablet, Film-coated 275mg/75mg/400mg/150mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"7  Dec,  2016"
TB226,"Ethambutol hydrochloride Tablet, Film-coated 100mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"4  Nov,  2013"
TB229,"Para-aminosalicylate (sodium) Powder for Oral solution 4g","Finished Pharmaceutical Product",Tuberculosis,"Olpha AS","Powder for Oral solution","Prequalification - Abridged",,"22  Mar,  2011"
TB230,"Moxifloxacin (hydrochloride) Tablet, Film-coated 400mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"16  Nov,  2012"
TB231,"Isoniazid/Rifampicin Tablet, Film-coated 150mg/300mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"15  Sep,  2016"
TB236,"Cycloserine Capsules, hard 250mg","Finished Pharmaceutical Product",Tuberculosis,"Dong-A ST Co., Ltd.","Capsules, hard","Prequalification - Full",,"12  Nov,  2012"
TB237,"Levofloxacin Tablet, Film-coated 250mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"3  Oct,  2012"
TB238,"Levofloxacin Tablet, Film-coated 500mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"3  Oct,  2012"
TB239,"Protionamide Tablet, Film-coated 250mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"25  Feb,  2013"
TB242,"Ethionamide Tablet, Film-coated 250mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"19  Dec,  2012"
TB243,"Pyrazinamide Tablet 500mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"4  Dec,  2012"
TB259,"Rifampicin Capsules, hard 150mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Capsules, hard","Prequalification - Full",,"7  Sep,  2016"
TB263,"Moxifloxacin (hydrochloride) Tablet, Film-coated 400mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"11  Jul,  2016"
TB264,"Ethambutol hydrochloride Tablet, Film-coated 400mg","Finished Pharmaceutical Product",Tuberculosis,"Antibiotice SA","Tablet, Film-coated","Prequalification - Abridged",,"28  Feb,  2013"
TB265,"Isoniazid Tablet 100mg","Finished Pharmaceutical Product",Tuberculosis,"Antibiotice SA",Tablet,"Prequalification - Abridged",,"28  Feb,  2013"
TB266,"Isoniazid Tablet 300mg","Finished Pharmaceutical Product",Tuberculosis,"Antibiotice SA",Tablet,"Prequalification - Abridged",,"28  Feb,  2013"
TB267,"Pyrazinamide Tablet 500mg","Finished Pharmaceutical Product",Tuberculosis,"Antibiotice SA",Tablet,"Prequalification - Abridged",,"28  Feb,  2013"
TB268,"Rifampicin Capsules, hard 150mg","Finished Pharmaceutical Product",Tuberculosis,"Antibiotice SA","Capsules, hard","Prequalification - Abridged",,"28  Feb,  2013"
TB269,"Rifampicin Capsules, hard 300mg","Finished Pharmaceutical Product",Tuberculosis,"Antibiotice SA","Capsules, hard","Prequalification - Abridged",,"28  Feb,  2013"
TB270,"Isoniazid/Rifampicin Capsules, hard 150mg/300mg","Finished Pharmaceutical Product",Tuberculosis,"Antibiotice SA","Capsules, hard","Prequalification - Abridged",,"28  Feb,  2013"
TB276,"Isoniazid Tablet 300mg","Finished Pharmaceutical Product",Tuberculosis,"Cadila Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"29  Oct,  2015"
TB277,"Levofloxacin Tablet, Film-coated 250mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"24  Oct,  2014"
TB278,"Levofloxacin Tablet, Film-coated 500mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"24  Oct,  2014"
TB279,"Levofloxacin Tablet, Film-coated 750mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"24  Oct,  2014"
TB285,"Isoniazid Tablet 300mg","Finished Pharmaceutical Product",Tuberculosis,"Mylan Laboratories Ltd.",Tablet,"Prequalification - Full",,"26  Sep,  2017"
TB286,"Moxifloxacin (hydrochloride) Tablet, Film-coated 400mg","Finished Pharmaceutical Product",Tuberculosis,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"26  Oct,  2016"
TB297,"Linezolid Tablet, Film-coated 600mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"12  Dec,  2017"
TB299,"Linezolid Tablet, Film-coated 600mg","Finished Pharmaceutical Product",Tuberculosis,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"11  Jul,  2016"
TB302,"Isoniazid/Rifampicin Tablet, Dispersible 50mg/75mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"31  Aug,  2017"
TB303,"Terizidone Capsules, hard 250mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Capsules, hard","Prequalification - Full",,"28  Nov,  2017"
TB307,"Pyrazinamide Tablet, Dispersible 150mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"7  Dec,  2016"
TB308,"Isoniazid Tablet 100mg","Finished Pharmaceutical Product",Tuberculosis,"Mylan Laboratories Ltd.",Tablet,"Prequalification - Full",,"26  Sep,  2017"
TB309,"Isoniazid/Pyrazinamide/Rifampicin Tablet, Dispersible 50mg/150mg/75mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"12  Dec,  2017"
TB311,"Moxifloxacin (hydrochloride) Tablet, Film-coated 400mg","Finished Pharmaceutical Product",Tuberculosis,"Getz Pharma Pvt Ltd","Tablet, Film-coated","Prequalification - Full",,"22  Feb,  2019"
TB315,"Moxifloxacin (hydrochloride) Tablet, Film-coated 400mg","Finished Pharmaceutical Product",Tuberculosis,"Hetero Labs Ltd","Tablet, Film-coated","Prequalification - Full",,"20  Jul,  2017"
TB317,"Kanamycin (sulfate) Solution for injection 500mg","Finished Pharmaceutical Product",Tuberculosis,"Shanghai Harvest Pharmaceutical Co., Ltd","Solution for injection","Prequalification - Full",,"5  Feb,  2020"
TB319,"Amikacin (sulfate) Solution for injection 500mg","Finished Pharmaceutical Product",Tuberculosis,"Qilu Pharmaceutical Co.,Ltd","Solution for injection","Prequalification - Full",,"11  May,  2018"
TB321,"Linezolid Tablet, Film-coated 600mg","Finished Pharmaceutical Product",Tuberculosis,"Cipla Ltd","Tablet, Film-coated","Prequalification - Full",,"7  Dec,  2016"
TB323,"Linezolid Tablet, Film-coated 600mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"31  Oct,  2018"
TB326,"Levofloxacin Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"22  Feb,  2018"
TB330,"Cycloserine Capsules, hard 125mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Capsules, hard","Prequalification - Full",,"17  Jul,  2018"
TB332,"Rifampicin Capsules, hard 300mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Capsules, hard","Prequalification - Full",,"17  Jul,  2018"
TB333,"Ethionamide Tablet, Dispersible 125mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"30  May,  2017"
TB334,"Ethambutol hydrochloride Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"14  Mar,  2018"
TB335,"Pyrazinamide Tablet, Dispersible 150mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Dispersible","Prequalification - Full",,"26  Sep,  2017"
TB336,"Rifapentine Tablet, Film-coated 150mg","Finished Pharmaceutical Product",Tuberculosis,Sanofi,"Tablet, Film-coated","Prequalification - Abridged",,"14  Feb,  2017"
TB338,"Levofloxacin Tablet, Film-coated 250mg","Finished Pharmaceutical Product",Tuberculosis,"MSN Laboratories Private Limited","Tablet, Film-coated","Prequalification - Full",,"15  May,  2019"
TB339,"Levofloxacin Tablet, Film-coated 500mg","Finished Pharmaceutical Product",Tuberculosis,"MSN Laboratories Private Limited","Tablet, Film-coated","Prequalification - Full",,"15  May,  2019"
TB340,"Levofloxacin Tablet, Film-coated 750mg","Finished Pharmaceutical Product",Tuberculosis,"MSN Laboratories Private Limited","Tablet, Film-coated","Prequalification - Full",,"15  May,  2019"
TB341,"Moxifloxacin (hydrochloride) Tablet, Film-coated 400mg","Finished Pharmaceutical Product",Tuberculosis,"MSN Laboratories Private Limited","Tablet, Film-coated","Prequalification - Full",,"19  Jun,  2018"
TB342,"Moxifloxacin (hydrochloride) Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"18  Dec,  2018"
TB345,"Protionamide Tablet, Film-coated 250mg","Finished Pharmaceutical Product",Tuberculosis,"Esteve Pharmaceuticals GmbH","Tablet, Film-coated","Prequalification - Abridged",,"14  Mar,  2018"
TB346,"Terizidone Capsules, hard 250mg","Finished Pharmaceutical Product",Tuberculosis,"Esteve Pharmaceuticals GmbH","Capsules, hard","Prequalification - Abridged",,"14  Mar,  2018"
TB348,"Isoniazid Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Dispersible","Prequalification - Full",,"16  Mar,  2020"
TB349,"Moxifloxacin (hydrochloride) Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Dispersible","Prequalification - Full",,"31  Oct,  2018"
TB350,"Linezolid Tablet, Film-coated 600mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"18  Dec,  2018"
TB353,"Protionamide Tablet, Film-coated 250mg","Finished Pharmaceutical Product",Tuberculosis,"LEKHIM Joint Stock Company","Tablet, Film-coated","Prequalification - Full",,"8  Sep,  2021"
TB354,"Levofloxacin Tablet, Film-coated 500mg","Finished Pharmaceutical Product",Tuberculosis,"PT. Dankos Farma","Tablet, Film-coated","Prequalification - Full",,"22  Feb,  2019"
TB355,"Levofloxacin Tablet, Film-coated 750mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Film-coated","Prequalification - Full",,"19  Nov,  2019"
TB356,"Levofloxacin Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Dispersible","Prequalification - Full",,"22  Oct,  2019"
TB359,"Isoniazid Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"2  Mar,  2021"
TB360,"Isoniazid/Rifampicin Tablet, Dispersible 50mg/75mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Dispersible","Prequalification - Full",,"20  Aug,  2021"
TB361,"Clofazimine Tablet, Film-coated 50mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"16  Sep,  2020"
TB362,"Clofazimine Tablet, Film-coated 100mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"16  Sep,  2020"
TB364,"Clofazimine Capsules, soft 100mg","Finished Pharmaceutical Product",Tuberculosis,"Dong-A ST Co., Ltd.","Capsules, soft","Prequalification - Full",,"26  Jan,  2021"
TB365,"Linezolid Tablet, Film-coated 600mg","Finished Pharmaceutical Product",Tuberculosis,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"16  Mar,  2020"
TB368,"Ethambutol hydrochloride Tablet, Dispersible 100mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Dispersible","Prequalification - Full",,"25  Oct,  2021"
TB369,"Isoniazid/Rifapentine Tablet, Film-coated 300mg/300mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"13  May,  2022"
TB373,"Levofloxacin Tablet, Film-coated 500mg","Finished Pharmaceutical Product",Tuberculosis,"PT Sanbe Farma","Tablet, Film-coated","Prequalification - Full",,"2  Nov,  2021"
TB375,"Isoniazid Tablet 300mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd",Tablet,"Prequalification - Full",,"21  Sep,  2022"
TB376,"Moxifloxacin (hydrochloride) Tablet, Film-coated 400mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"19  Nov,  2021"
TB381,"Levofloxacin Tablet, Film-coated 250mg","Finished Pharmaceutical Product",Tuberculosis,"Remington Pharmaceutical Industries (Pvt) Ltd","Tablet, Film-coated","Prequalification - Full",,"30  Aug,  2021"
TB382,"Pyridoxine hydrochloride Tablet 10mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"13  May,  2022"
TB383,"Pyridoxine hydrochloride Tablet 50mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"13  May,  2022"
TB384,"Meropenem Powder for solution for injection 1g","Finished Pharmaceutical Product",Tuberculosis,"Venus Pharma GmbH","Powder for solution for injection","Prequalification - Abridged",,"3  Mar,  2020"
TB385,"Cycloserine Capsules, hard 250mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Capsules, hard","Prequalification - Full",,"13  May,  2022"
TB386,"Pretomanid Tablet 200mg","Finished Pharmaceutical Product",Tuberculosis,"Mylan Laboratories Ltd.",Tablet,"Prequalification - Abridged",,"25  Nov,  2020"
TB388,"Delamanid Tablet, Film-coated 50mg","Finished Pharmaceutical Product",Tuberculosis,"Mylan Laboratories Ltd.","Tablet, Film-coated","Prequalification - Full",,"24  Nov,  2022"
TB389,"Linezolid Tablet, Dispersible 150mg","Finished Pharmaceutical Product",Tuberculosis,"Micro Labs Limited","Tablet, Dispersible","Prequalification - Full",,"2  Sep,  2023"
TB390,"Bedaquiline fumarate Tablet 100mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"4  Nov,  2024"
TB391,"Linezolid Tablet, Dispersible 150mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Dispersible","Prequalification - Full",,"14  Nov,  2022"
TB392,"Isoniazid Tablet 300mg","Finished Pharmaceutical Product",Tuberculosis,"Svizera Labs Pvt. Ltd.",Tablet,"Prequalification - Full",,"22  Dec,  2023"
TB393,"Rifapentine Tablet, Film-coated 300mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"15  Jul,  2024"
TB394,"Isoniazid/Rifapentine Tablet, Film-coated 300mg/300mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Film-coated","Prequalification - Full",,"17  Oct,  2024"
TB395,"Bedaquiline (fumarate) Tablet 100mg","Finished Pharmaceutical Product",Tuberculosis,"MSN Laboratories Private Limited",Tablet,"Prequalification - Full",,"19  Dec,  2024"
TB396,"Bedaquiline fumarate Tablet 100mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd",Tablet,"Prequalification - Full",,"16  Nov,  2023"
TB397,"Pretomanid Tablet 200 mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd",Tablet,"Prequalification - Full",,"28  Oct,  2024"
TB398,"Rifapentine Tablet, Film-coated 300 mg","Finished Pharmaceutical Product",Tuberculosis,"Macleods Pharmaceuticals Ltd","Tablet, Film-coated","Prequalification - Full",,"2  Sep,  2023"
TB400,"Isoniazid/Pyrazinamide/Rifampicin Tablet, Dispersible 50mg/150mg/75mg","Finished Pharmaceutical Product",Tuberculosis,"Lupin Ltd","Tablet, Dispersible","Prequalification - Full",,"16  Aug,  2024"
TB401,"Pyridoxine hydrochloride Tablet, Film-coated 50mg","Finished Pharmaceutical Product",Tuberculosis,"S Kant Healthcare Ltd.","Tablet, Film-coated","Prequalification - Full",,"20  Nov,  2023"
